"","Site","Lat/Long","2020-05-20","2020-05-27","2020-06-03","2020-06-10","2020-06-17","2020-06-24","2020-07-01","2020-07-08","2020-07-15","2020-07-22","2020-07-29","2020-08-05","2020-08-12","2020-08-19","2020-08-26","2020-09-02","2021-05-26","2021-06-02","2021-06-09","2021-06-16","2021-06-23","2021-06-30","2021-07-07","2021-07-14","2021-07-21","2021-07-28","2021-08-04","2021-08-11","2021-08-25","2022-05-25","2022-06-01","2022-06-08","2022-06-15","2022-06-22","2022-06-29","2022-07-06","2022-07-13","2022-07-20","2022-07-27","2022-08-03","2022-08-10","2022-08-17","2022-08-24","2022-08-31","2023-05-24","2023-05-31","2023-06-07","2023-06-14","2023-06-21","2023-06-28","2023-07-05","2023-07-12","2023-07-19","2023-07-26","2023-08-02","2023-08-09","2023-08-16","2023-08-23","2023-08-30","2024-05-22","2024-05-29","2024-06-05","2024-06-12","2024-06-19","2024-06-26","2024-07-03","2024-07-10","2024-07-17","2024-07-24","2024-07-31","2024-08-07","2024-08-14","2024-08-21","2024-08-28","2025-05-21","2025-05-28","2025-06-04","2025-06-11","2025-06-18","2025-06-25","2025-07-02","2025-07-09","2025-07-16","2025-07-23","2025-07-30","2025-08-06"
"22","Mills Rv Boat Access","35°23'20.6""N 82°32'54.6""W","17240.0","100.0","50.0","0.0","540.0","255.0","205.0","260.0","370.0","315.0","710.0","1545.0","1395.0","1795.0","260.0","315.0","100.0","0.0","1045.0","155.0","315.0","1525.0","375.0","315.0","260.0","315.0","205.0","1055.0",NA,"865.0","50.0","50.0","540.0","155.0","100.0","600.0","205.0",NA,"305.0","315.0","845.0","4210.0","730.0","370.0","205.0","780.0","250.0","430.0","13065.0","50.0","720.0","430.0","1545.0","260.0","2175.0",NA,"375.0",NA,"0.0","145.0",NA,"238.2","145.0","435.2",NA,"325.5","315.0","1046.2","488.4","1553.1",NA,NA,"3.0","198.9","-","-","50.0","495","-","-","425","-","7415","315","1425","155.0"
"23","Mud Creek at Brookside Camp Rd.","35°22'23.4""N 82°28'37.3""W","1865.0","535.0","155.0","255.0","430.0","430.0","545.0","1410.0","430.0","2475.0","5430.0","4080.0",NA,"425.0","1640.0","425.0","315.0","205.0","1505.0","675.0","375.0","1245.0","205.0","2110.0","905.0","10490.0","945.0","315.0","670.0","315.0","300.0","370.0","315.0","260.0","315.0","8320.0","315.0","2780.0","1140.0","260.0","730.0",NA,"315.0",NA,"315.0","205.0",NA,"545.0","10490.0","260.0","2560.0","365.0","4065.0","260.0","605.0","370.0","260.0","315.0","1360.0","365.4","298.7",NA,"461.1","344.8","190.4","201.4","375.0","2419.6","866.4","2419.6","613.1","686.7","313.0","135.4","1820","620","685","3485","2265","605","3285","475","2605","2770","1725","1140.0"
"24","Mud Creek at Hendersonville (7th ave)","35°19'32.1""N 82°27'08.8""W","5685.0","315.0","315.0","155.0","260.0","430.0","260.0","375.0","310.0","1245.0","4665.0","610.0","370.0","0.0","730.0","670.0","315.0","260.0","315.0","540.0","935.0",NA,"155.0","3945.0","670.0","2100.0","1165.0","490.0","260.0",NA,NA,"155.0","540.0",NA,"670.0","1295.0","365.0","1615.0","940.0","260.0","985.0","1205.0","205.0",NA,"1005.0","315.0","0.0","485.0","3250.0","430.0","875.0","155.0","13015.0","430.0","205.0","430.0","315.0","315.0","1190.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Pigeon River - Lower take out","35°48'42.7""N 83°08'40.2""W","On Hold","205.0","50.0","100.0","370.0","370.0","0.0","50.0","50.0","0.0","50.0","155.0","155.0","155.0","100.0","50.0","475.0","670.0","670.0","50.0","100.0","100.0","100.0","50.0","50.0","3640.0","100.0","155.0","155.0","1235.0","50.0","205.0","315.0","155.0","50.0","100.0","550.0","50.0","0.0","150.0","100.0","155.0","100.0","50.0","0.0","155.0","50.0","50.0","0.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","50.0","100.0","78.4","1119.9","39.9","24.1","88.2","29.1","108.6","61.3","14.2","69.7","35.0","17.1","34.5","58.1","33.2","-","100.0","155","50.0","155","100.0","155","50.0","155.0","0.0","0.0","100.0"
"26","Pigeon River at Hartford","35°48'46.8""N 83°08'41.7""W","On Hold","205.0","50.0","0.0","375.0","100.0","100.0","0.0","0.0","50.0","0.0","155.0","0.0","0.0","100.0","50.0","0.0","100.0","50.0",NA,"50.0","100.0","0.0","0.0","0.0","0.0","50.0","0.0","0.0","605.0","50.0","0.0","0.0","150.0","50.0","155.0","155.0","0.0","50.0","100.0","0.0","0.0","0.0","0.0","50.0","100.0","100.0","100.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","12.1","1553.1","14.4","10.9","9.8","3.0","8.0","2.0","6.3","8.4","201.4","8.6","1.0","1.0","3.1","-","-","50.0","50.0","50.0","50.0","50.0","50.0","50.0","0.0","0.0","0.0"
"27","Pigeon River Newport","35°46'29.6""N 83°05'59.3""W","On Hold","100.0","100.0","0.0","205.0","155.0","0.0","0.0","0.0","0.0","150.0","155.0","0.0","0.0","260.0","0.0","0.0","0.0","1055.0","50.0","420.0","100.0","0.0","790.0","3200.0","150.0","475.0","100.0","150.0","1205.0","100.0","0.0","100.0","260.0",NA,"155.0","375.0","50.0","375.0","150.0","50.0","100.0","50.0","260.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Pigeon River- Canton Rec Park","35°31'31.1""N 82°50'40.3""W","4930.0","485.0",NA,"260.0",NA,"155.0","155.0","50.0",NA,"485.0","375.0","250.0","205.0",NA,"155.0",NA,"155.0","50.0","660.0","...","150.0","315.0","50.0","50.0","100.0",NA,"375.0",NA,NA,NA,NA,"50.0",NA,"205.0",NA,"370.0",NA,NA,"100.0",NA,NA,NA,NA,NA,"50.0","370.0","430.0","610.0","2310.0","315.0","1545.0","0.0","0.0","100.0","0.0","205.0","205.0","100.0","365.0",NA,NA,"201.4","107.1","198.9","88.2","117.8","104.3","517.2","224.7","547.5","98.4","116.0","195.6","201.4","-","-","-","-","-","-","-","-","-","-","-","-"
"29","Pigeon River- Waynesville","35°28'11.5""N 83°00'29.7""W","On Hold","0.0",NA,NA,NA,NA,"50.0","100.0",NA,"425.0","100.0","375.0","100.0",NA,"205.0",NA,"0.0","...","155.0","...","50.0","430.0","100.0",NA,"0.0",NA,NA,NA,"50.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Reem's Creek Karpen Soccer Fields","35°41'14.3""N 82°33'11.8""W","6870.0","420.0",NA,"430.0",NA,"1280.0","600.0","375.0",NA,"3720.0","120980.0","3120.0","1705.0","1265.0","915.0","800.0","260.0","...","310.0","605.0","490.0","370.0",NA,"725.0","430.0","3100.0","725.0","430.0",NA,"315.0","365.0",NA,NA,"205.0",NA,"315.0","1525.0",NA,NA,NA,NA,"670.0",NA,NA,NA,NA,NA,NA,"1460.0",NA,"490.0","315.0",NA,NA,"205.0",NA,"600.0","550.0",NA,"238.2",NA,"410.6","88.2","344.8","461.1",NA,"272.3","2419.6",NA,NA,"387.3","344.1","547.6","727.0","3690","-","155.0","265","750","155","790","-","605","-","-","-"
"31","Rhododeron Creek - W. Avl Park","35°34'16.4""N 82°35'53.8""W","12975.0","100.0","730.0","1405.0","205.0","260.0","420.0",NA,"430.0","315.0","800.0",NA,"670.0","2050.0","545.0","315.0","670.0","315.0","260.0","430.0","490.0","205.0","425.0","730.0","1460.0","1230.0","550.0","945.0","1015.0","855.0","3485.0","1230.0","425.0","260.0","600.0","610.0","1820.0","1005.0","1965.0","800.0","1205.0","1360.0",NA,"605.0","675.0","100.0","0.0","740.0","3530.0","2435.0","375.0","255.0","1205.0",NA,"875.0","1865.0","985.0","430.0","1230.0","325.5","344.8","88.4","214.3","118.7","160.7","816.4","547.5","579.4",NA,"1553.1","1553.1","517.2",NA,"193.5","2320.0","100.0","155.0","50.0","495","495","915","1885","655","610","4195","430.0"
"32","Spring Creek in Hot Springs, NC","35°53'49.2""N 82°49'37.8""W","490.0","365.0","425.0","430.0","260.0","425.0",NA,"490.0","540.0","1310.0","420.0","550.0","675.0","155.0","205.0","315.0","100.0","50.0","4410.0","375.0","660.0","315.0","205.0",NA,"260.0","155.0","260.0","0.0","150.0","540.0","50.0","100.0","0.0","50.0","205.0","865.0","2140.0",NA,"205.0","50.0","375.0",NA,"100.0","310.0",NA,"260.0","150.0","260.0","50.0","1140.0","2130.0","50.0","0.0","0.0","50.0","50.0","315.0","1295.0","155.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"315","50.0","50.0","320","320","100.0","995.0","260","2115","-","375","260.0"
"33","Swannanoa @ Azalea Soccer Fields","35°34'24.3""N 82°29'24.9""W","1155.0","490.0","375.0","260.0","260.0","550.0","315.0","305.0","205.0","480.0","485.0","600.0","260.0","790.0","5685.0","550.0","485.0","100.0","1140.0","205.0","660.0","205.0","485.0","100.0","550.0","1705.0","155.0","315.0","255.0","485.0","50.0","150.0","205.0","315.0","100.0","6585.0","4545.0","315.0","2158.0","420.0","790.0","490.0","1330.0","485.0","100.0","100.0","205.0","750.0","13065.0",NA,NA,"675.0","315.0","205.0","155.0","260.0","205.0","260.0","1460.0","290.9",NA,"325.5","365.4","79.8","135.4",NA,"387.3","2419.6","344.8","2419.6","344.8","488.4","461.1","307.6","23930.0","620","50.0","320","1440","210","260","205","1015","0.0","430","100.0"
"34","Swannanoa at Charles D. Owen","35°36'29.1""N 82°26'37.7""W","3010.0","0.0","100.0","150.0","315.0","260.0",NA,"260.0","155.0","3065.0","430.0","315.0","100.0","205.0","935.0","675.0","430.0","205.0","2400.0","485.0","730.0","1130.0","260.0","150.0","205.0","605.0","550.0","485.0","315.0",NA,NA,"260.0","155.0","260.0","260.0","2825.0",NA,"740.0","985.0","985.0","600.0","905.0","100.0","375.0","430.0","2175.0","425.0","205.0","3315.0","100.0","655.0","675.0","205.0","1005.0","725.0","260.0","995.0","260.0","1615.0","214.3","816.4","231.0","178.0","410.6","104.6","365.4","613.1","2419.6","178.5","137.6","461.1","517.2","1732.9","1413.6","480","-","50.0","50.0","435","155","600","155.0","315","365","315","0.0"
"35","FB at Island Ford","35°10'42.1""N 82°45'17.9""W",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"260.0","205.0","1895.0","155.0","205.0","2685.0","155.0","7195.0","1360.0","1325.0","305.0","155.0","995.0","1655.0","315.0","0.0","260.0","255.0","205.0","1965.0","375.0","100.0",NA,"315.0","865.0","610.0","1395.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-","-","-","-","-","-","-","-","-","-","-","-"
"36","FB at Lyons Mountain","35°8'58.1""N, 82°47'57.4""W",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"255.0","100.0","975.0","655.0","800.0","425.0",NA,"4795.0","1295.0","315.0","150.0","3100.0","1615.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","FB at Stackhouse","35°52'51.0""N, 82°46'12.5""W",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"205.0","50.0","0.0","50.0","660.0","375.0","100.0","50.0","150.0","1310.0","205.0","100.0","925.0","0.0","0.0","155.0","205.0",NA,"740.0","155.0","660.0","855.0",NA,NA,"0.0","100.0","50.0","100.0","205.0","50.0","0.0","0.0","50.0","0.0",NA,"315.0","605.0","50.0","475.0",NA,NA,"spilled","25.9","76.7","8.4","58.3","88.4","1732.9","1046.2","344.8","107.6","43.2","24.9","8.5","3745","435","50.0","50.0","-","50.0","4080","155","100.0","205","475","1940.0"
"38","Pigeon River - Clyde River's Edge","35°31' 58.8""N 82°54'2.7""W",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50.0","150.0","730.0",NA,"545.0","660.0","155.0","370.0","260.0","205.0","50.0","1920.0","100.0","450.0","100.0","260.0","260.0","205.0","155.0","845.0","205.0","610.0","205.0","155.0","430.0","50.0","155.0","100.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Bacoate","35°35' 5.7""N, 82°33'58.7""W",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"365.0",NA,NA,"925.0","315.0","600.0",NA,NA,"855.0","1190.0","315.0",NA,NA,NA,NA,NA,"155.0","155.0","260.0","2355.0","310.0","205.0","315.0","315.0","1080.0","155.0","260.0","50.0","0.0","1375.0",NA,"235.9",NA,"613.1","344.8","517.2","613.1","1413.6","980.4","248.1","2419.6",NA,"103.9","167.0","93.2","3880","100","50.0","50.0","435","100.0","-","1360","155.0","100.0","43320","155.0"
"40","Hominy Creek Near Bear Creek Rd","35°33'51.4""N 82°36'28.3""W",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"205.0","3155.0","12000.0","6480.0","205.0",NA,"2640.0","30655.0","205.0","205.0","100.0",NA,"315.0","205.0","4115.0","485.0","5765.0","315.0","1920.0",NA,"375.0","675.0","985.0","315.0","5250.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Nasty Branch","35°34'41.0""N 82°33'41.7""W",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"790.0",NA,"490.0","845.0","315.0","490.0",NA,NA,"1015.0","4100.0","535.0",NA,NA,NA,NA,NA,"260.0","485.0","485.0","1920.0","3315.0","315.0","50.0","790.0","540.0","315.0","1895.0","315.0","490.0","1395.0",NA,"1046.2","920.8","1413.6","461.1","866.4","2419.6","1119.9","2419.6","2419.6","1986.3","2419.6","920.8","378.4","410.6","4410.0","820","210.0","265.0","1440","265","-","3455","6570","805","2285","865.0"
"42","Pigeon River- Waterville","35°28'11.5""N 83°00'29.7""W",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"995.0","155.0","0.0","0.0","0.0","360.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Blannahassett Island Marshall","35°47'48.6""N 82°41'06.5""W",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.0","260.0","945.0","100.0","3065.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","FB at Island Ford","35°10'42.2""N 82°45' 19.5""W",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50.0","100.0","305.0","155.0",NA,NA,"2520.0",NA,"7500.0","660.0","260.0","790.0","50.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Little River - Cedar Mtn Canteen","35°8'52.9""N 82°38'47.2""W",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.0","50.0","100.0","150.0","660.0","155.0","205.0","50.0","605.0","15380.0","50.0","50.0","205.0","205.0","205.0","22.3","61.7","131.4","76.7","140.1","148.3","155.3","310.0","165.8","248.1","238.2","156.5",NA,"201.4","118.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Pigeon River Newport","35°57'40.9""N 83°10'24.4""W",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"155.0","205.0","100.0","50.0","485.0","0.0","205.0","0.0","155.0","425.0","375.0","205.0","315.0","155.0","4430.0","275.5","920.0","156.5","19.9",NA,"55.4","79.4","34.1","56.0","34.1",NA,"29.4","38.4","59.4","131.4","-","50.0","50.0","50.0","210","320","1205","50.0","205","205","315","100.0"
"47","Pigeon River - Clyde River's Edge","35°31'56.5""N 82°54'03.8""W",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50.0","315.0","100.0","100.0","3385.0","205.0","205.0","0.0","0.0","0.0","150.0","50.0","100.0","0.0","1590.0","111.9","378.4","98.7","435.2","178.9","49.0","70.3","547.5","1553.1","461.1","1553.1","22.8","21.1","44.1","59.1","-","-","-","-","-","-","-","-","-","-","-","-"
"48","FB at Blantyre","35°17'57.7""N 82°37'20.1""W",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1720","495","100.0","50.0","1920","205","1130","-","2400","260","1705","1555"
